Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,links,Image,description,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group
Great Dane,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4,https://www.akc.org/dog-breeds/great-dane/,https://www.akc.org/wp-content/uploads/2017/11/Great-Dane-Illo-2.jpg,"As tall as 32 inches at the shoulder, Danes tower over most other dogs—and when standing on their hind legs, they are taller than most people. These powerful giants are the picture of elegance and balance, with the smooth and easy stride of born noblemen. The coat comes in different colors and patterns, perhaps the best-known being the black-and-white patchwork pattern known as “harlequin.”Despite their sweet nature, Danes are alert home guardians. Just the sight of these gentle giants is usually enough to make intruders think twice. But those foolish enough to mistake the breed’s friendliness for softness will meet a powerful foe of true courage and spirit. Patient with kids, Danes are people pleasers who make friends easily. The easygoing Great Dane, the mighty “Apollo of Dogs,” is a total joy to live with—but owning a dog of such imposing size, weight, and strength is a commitment not to be entered into lightly. This breed is indeed great, but not a Dane.",71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,Working Group
Cavalier King Charles Spaniel,5,5,5,2,2,2,Wavy,Medium,4,3,3,3,4,3,3,3,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Cavalier-King-Charles-Spaniel-illo-2.jpg,"The Cavalier’s all-around beauty, regal grace, and even temper mark him as one of dogdom’s noblemen. A toy spaniel no more than 13 inches high, the Cavalier draws you in with his face: The sweet, gentle, melting expression emanating from large, round eyes is a breed hallmark. Another is the silky, richly-colored coat that can be one of four distinct varieties.Cavaliers may be aristocrats, but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase. They get along nicely with children and other dogs. Adaptable Cavaliers do equally well with active owners and homebodies—they can be upbeat athletes or shameless couch potatoes, depending on an owner’s lifestyle. The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.",30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group
Doberman Pinscher,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4,https://www.akc.org/dog-breeds/doberman-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Doberman-Pinscher-illustration.jpg,"Dobermans are compactly-built dogs—muscular, fast, and powerful—standing between 24 to 28 inches at the shoulder. The body is sleek but substantial, and is covered with a glistening coat of black, blue, red, or fawn, with rust markings. These elegant qualities, combined with a noble, wedge-shaped head and an easy, athletic way of moving have earned Dobermans a reputation as royalty in the canine kingdom. A well-conditioned Doberman on patrol will deter all but the most foolish intruder. Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkind's noblemen. This incomparably fearless and vigilant breed stands proudly among the world's finest protection dogs.",60.96,71.12,27.2155422,45.359237,10.0,12.0,Working Group
Miniature Schnauzer,5,5,3,3,4,2,Wiry,Medium,3,4,4,5,5,3,5,4,https://www.akc.org/dog-breeds/miniature-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Schnauzer-Illo-2.jpg,"Stocky, robust little dogs standing 12 to 14 inches, Miniature Schnauzers were bred down from their larger cousins, Standard Schnauzers. The bushy beard and eyebrows give Minis a charming, human-like expression. The hard, wiry coat comes in three color patterns: salt and pepper, black and silver, and solid black. Created to be all-around farm dogs and ratters, they are tough, muscular, and fearless without being aggressive.The Miniature Schnauzer is a bright, friendly, trainable companion, small enough to adapt to apartment life but tireless enough to patrol acres of farmland. They get along well with other animals and kids. Minis are sturdy little guys and enjoy vigorous play. Home and family oriented, they make great watchdogs. The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and you’ve got an ideal family dog.",30.48,35.56,4.9895160700000005,9.0718474,12.0,15.0,Terrier Group
Shih Tzu,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3,https://www.akc.org/dog-breeds/shih-tzu/,https://www.akc.org/wp-content/uploads/2017/11/Shih-Tzu-Illo-2.jpg,"Shih Tzu (pronounced in the West “sheed-zoo” or “sheet-su”; the Chinese say “sher-zer”), weighing between 9 to 16 pounds, and standing between 8 and 11 inches, are surprisingly solid for dogs their size. The coat, which comes in many colors, is worth the time you will put into it—few dogs are as beautiful as a well-groomed Shih Tzu.Being cute is a way of life for this lively charmer. The Shih Tzu is known to be especially affectionate with children. As a small dog bred to spend most of their day inside royal palaces, they make a great pet if you live in an apartment or lack a big backyard. Some dogs live to dig holes and chase cats, but a Shih Tzu’s idea of fun is sitting in your lap acting adorable as you try to watch TV. That face! Those big dark eyes looking up at you with that sweet expression! It’s no surprise that Shih Tzu owners have been so delighted with this little “Lion Dog” for a thousand years. Where Shih Tzu go, giggles and mischief follow.",22.86,26.67,4.082331330000001,7.25747792,10.0,18.0,Toy Group
Boston Terrier,5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3,https://www.akc.org/dog-breeds/boston-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Boston-Terrier-Illo-2.jpg,"Boston Terriers are compact, short-tailed, well-balanced little dogs weighing no more than 25 pounds. The stylish “tuxedo” coat can be white and either black, brindle, or seal (black with a red cast when viewed in sun or bright light). The head is square, the muzzle is short, and the large, round eyes can shine with kindness, curiosity, or mischief. Ever alert to their surroundings, Bostons move with a jaunty, rhythmic step.It’s a safe bet that a breed named for a city—the Havanese or Brussels Griffon, for instance—will make an excellent urban pet. Bostons are no exception: they are sturdy but portable, people-oriented, and always up for a brisk walk to the park or outdoor cafe. A bright dog with a natural gift for comedy, the dapper Bostonian is a steady source of smiles. The Boston Terrier is a lively little companion recognized by his tight tuxedo jacket, sporty but compact body, and the friendly glow in his big, round eyes. His impeccable manners have earned him the nickname “The American Gentleman.”",38.1,43.18,5.4431084400000005,11.33980925,11.0,13.0,Non-Sporting Group
Bernese Mountain Dog,5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3,https://www.akc.org/dog-breeds/bernese-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Bernese-Mountain-Dog-Illo-2.jpg,"The Bernese Mountain Dog is a large, sturdy worker who can stand over 27 inches at the shoulder. The thick, silky, and moderately long coat is tricolored: jet black, clear white, and rust. The distinctive markings on the coat and face are breed hallmarks and, combined with the intelligent gleam in the dark eyes, add to the Berner’s aura of majestic nobility. A hardy dog who thrives in cold weather, the Berner’s brain and brawn helped him multitask on the farms and pastures of Switzerland.Berners get along with the entire family and are particularly gentle with children, but they will often become more attached to one lucky human. Berners are imposing but not threatening, and they maintain an aloof dignity with strangers. Big, powerful, and built for hard work, the Bernese Mountain Dog is also strikingly beautiful and blessed with a sweet, affectionate nature. Berners are generally placid but are always up for a romp with the owner, whom they live to please.",58.42,69.85,31.751465900000003,52.16312255,7.0,10.0,Working Group
Pomeranian,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3,https://www.akc.org/dog-breeds/pomeranian/,https://www.akc.org/wp-content/uploads/2017/11/Pomeranian-Illo-2.jpg,"The Pomeranian combines a tiny body (no more than seven pounds) and a commanding big-dog demeanor. The abundant double coat, with its frill extending over the chest and shoulders, comes in almost two dozen colors, and various patterns and markings, but is most commonly seen in orange or red.Alert and intelligent, Pomeranians are easily trained and make fine watchdogs and perky pets for families with children old enough to know the difference between a toy dog and a toy. Poms are active but can be exercised with indoor play and short walks, so they are content in both the city and suburbs. They will master tricks and games with ease, though their favorite activity is providing laughs and companionship to their special human. The tiny Pomeranian, long a favorite of royals and commoners alike, has been called the ideal companion. The glorious coat, smiling, foxy face, and vivacious personality have helped make the Pom one of the world's most popular toy breeds.",15.24,17.78,1.36077711,3.17514659,12.0,16.0,Toy Group
Havanese,5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3,https://www.akc.org/dog-breeds/havanese/,https://www.akc.org/wp-content/uploads/2017/11/Havanese-Illo-2.jpg,"Distinctive features of the Havanese include a curled-over tail and a gorgeous silky coat, which comes in a variety of colors. Some owners enjoy cording the coat, in the manner of a Puli, and others clip it short to reduce grooming time. Happily, Havenese are just as cute no matter what hairdo you give them.Their small but sturdy bodies, adaptable nature, and social skills make Havanese an ideal city dog, but they are content to be anywhere that they can command the attention of admirers young and old alike. Havanese, smart and trainable extroverts with the comic instincts of a born clown, are natural trick dogs. Havanese are also excellent watchdogs and take the job seriously, but will usually keep the barking to a minimum. Havanese, the only dog breed native to Cuba, are cheerful little dogs with a spring in their step and a gleam in their big, brown eyes. These vivacious and sociable companions are becoming especially popular with American city dwellers.",21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,Toy Group
Cane Corso,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3,https://www.akc.org/dog-breeds/cane-corso/,https://www.akc.org/wp-content/uploads/2017/11/Cane-Corso-Illo-2.jpg,"At nearly 28 inches at the shoulder and often weighing more than 100 pounds, with a large head, alert expression, and muscles rippling beneath their short, stiff coat, Corsi are at a glance intimidating creatures. Their imposing appearance is their first line of defense against intruders. As one writer put it, “An understated air of cool competence, the kind of demeanor you’d expect from a professional bodyguard, is the breed’s trademark.”Corsi are intelligent, loyal, eager to please, versatile, and intensely loyal to their humans, but are also assertive and willful, and can end up owning an unwitting owner. As with any other big guardian dog, responsible breeding and early socialization with people and other dogs is vital. Smart, trainable, and of noble bearing, the assertive and confident Cane Corso is a peerless protector. The Corso’s lineage goes back to ancient Roman times, and the breed’s name roughly translates from the Latin as “bodyguard dog.”",59.69,69.85,0.0,0.0,9.0,12.0,Working Group
Shetland Sheepdog,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4,https://www.akc.org/dog-breeds/shetland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Shetland-Sheepdog-Illo-2.jpg,"The Shetland Sheepdog is a small, active, and agile herding dog standing between 13 and 16 inches at the shoulder. The long coat is harsh and straight, with a dense undercoat, and comes in black, blue merle, and sable, with white markings. The coat, along with a long, wedge-shaped head; small, three-quarter erect ears; and deep-chested, level-backed torso, give Shelties the look of a rough-coated Collie in miniature.Bright and eager Shelties are easy trainers and world-class competitors in obedience, agility, and herding trials. They are sensitive and affectionate family dogs, highly in tune with the mood of the household. They like to bark and tend to be reserved toward strangers—two qualifications of an excellent watchdog. The Shetland Sheepdog, also known as the Sheltie, is an extremely intelligent, quick, and obedient herder from Scotland’s remote and rugged Shetland Islands. Shelties bear a strong family resemblance to their bigger cousin, the Collie.",33.02,40.64,6.80388555,11.33980925,12.0,14.0,Herding Group
Brittany,3,4,4,3,3,1,Double,Short,3,4,3,3,5,5,3,4,https://www.akc.org/dog-breeds/brittany/,https://www.akc.org/wp-content/uploads/2017/11/Brittany-Illo-2.jpg,"Brittanys are smaller than setters but leggier than spaniels, standing about 20 inches at the shoulder. Their beautiful, boldly patterned coat comes in combinations of white and vivid orange and liver (reddish-brown). They are rugged and strong but smooth, clean, and quick afoot. The face has the “softness” prized by bird-dog lovers; high-set ears convey the breed’s essential eagerness.The zeal and versatility that make Brittanys peerless hunters can be channeled into dog sports. Obedience, agility, flyball, dock diving—you name it, this trainable breed is up for it. The Brittany is a nice fit for those seeking an all-purpose hunting partner, a dog-sport teammate, or a companion in sync with an upbeat, outdoorsy family life. Sportsmen on both sides of the Atlantic cherish the agile, energetic Brittany as a stylish and versatile gundog. Bright and eager at home, and tireless afield, Brittanys require a lot of exercises, preferably with their favorite humans.",44.45,52.07,13.6077711,18.1436948,12.0,14.0,Sporting Group
Pug,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3,https://www.akc.org/dog-breeds/pug/,https://www.akc.org/wp-content/uploads/2017/11/Pug-Illo-2.jpg,"The Pug’s motto is the Latin phrase “multum in parvo” (a lot in a little)—an apt description of this small but muscular breed. They come in three colors: silver or apricot-fawn with a black face mask, or all black. The large round head, the big, sparkling eyes, and the wrinkled brow give Pugs a range of human-like expressions—surprise, happiness, curiosity—that have delighted owners for centuries.Pug owners say their breed is the ideal house dog. Pugs are happy in the city or country, with kids or old folks, as an only pet or in a pack. They enjoy their food, and care must be taken to keep them trim. They do best in moderate climates—not too hot, not too cold—but, with proper care, Pugs can be their adorable selves anywhere. Once the mischievous companion of Chinese emperors, and later the mascot of Holland’s royal House of Orange, the small but solid Pug is today adored by his millions of fans around the world. Pugs live to love and to be loved in return.",25.4,33.02,6.35029318,8.164662660000001,13.0,15.0,Toy Group
Miniature American Shepherd,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5,https://www.akc.org/dog-breeds/miniature-american-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-American-Shepherd-illustration.jpg,"The Miniature American Shepherd shares many physical traits with its forebear the Australian Shepherd—only on a smaller scale. Females stand between 13 and 17 inches at the shoulder; males range from 14 to 18 inches. Despite their size, Minis are every inch a true herding dog: energetic, versatile, rugged, and extremely bright. The eye-catching coat comes in black, blue merle, red, and red merle. (The merle will exhibit in any amount marbling, flecks, or blotches.) Minis move with the smooth and agile step of a dog built for hard work on punishing terrain. The Miniature American Shepherd resembles a small Australian Shepherd. True herders in spite of their compact size, Minis are bright, self-motivated workers and endearingly loyal and lively companion dogs who have an affinity for horses.",33.02,45.72,9.0718474,18.1436948,12.0,13.0,Herding Group
Border Collie,5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5,https://www.akc.org/dog-breeds/border-collie/,https://www.akc.org/wp-content/uploads/2017/11/Border-Collie-Illo-2.jpg,"Borders are athletic, medium-sized herders standing 18 to 22 inches at the shoulder. The overall look is that of a muscular but nimble worker unspoiled by passing fads. Both the rough coat and the smooth coat come in a variety of colors and patterns.The almond eyes are the focus of an intelligent expression—an intense gaze, the Border’s famous “herding eye”, is a breed hallmark. On the move, Borders are among the canine kingdom’s most agile, balanced, and durable citizens.The intelligence, athleticism, and trainability of Borders have a perfect outlet in agility training. Having a job to perform, like agility—or herding or obedience work—is key to Border happiness. Amiable among friends, they may be reserved with strangers. A remarkably bright workaholic, the Border Collie is an amazing dog—maybe a bit too amazing for owners without the time, energy, or means to keep it occupied. These energetic dogs will settle down for cuddle time when the workday is done.",45.72,55.88,13.6077711,24.947580350000003,12.0,15.0,Herding Group
Mastiff,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3,https://www.akc.org/dog-breeds/mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Mastiff-Illo-2.jpg,"For the uninitiated, a face-to-face encounter with these black-masked giants can be startling. A male stands at least 30 inches at the shoulder and can outweigh many a full-grown man. The rectangular body is deep and thickly muscled, covered by a short double coat of fawn, apricot, or brindle stripes. The head is broad and massive, and a wrinkled forehead accentuates an alert, kindly expression. Mastiffs are patient, lovable companions and guardians who take best to gentle training. Eternally loyal Mastiffs are protective of family, and a natural wariness of strangers makes early training and socialization essential. Mastiffs are magnificent pets, but acquiring a powerful giant-breed dog is commitment not to be taken lightly. The colossal Mastiff belongs to a canine clan as ancient as civilization itself. A massive, heavy-boned dog of courage and prodigious strength, the Mastiff is docile and dignified but also a formidable protector of those they hold dear.",69.85,76.2,54.4310844,104.3262451,6.0,10.0,Working Group
Chihuahua,4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3,https://www.akc.org/dog-breeds/chihuahua/,https://www.akc.org/wp-content/uploads/2017/11/Chihuahua-Illo-2.jpg,"The Chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. The rounded “apple” head is a breed hallmark. The erect ears and full, luminous eyes are acutely expressive. Coats come in many colors and patterns, and can be long or short. The varieties are identical except for coat.Chihuahuas possess loyalty, charm, and big-dog attitude. Even tiny dogs require training, and without it this clever scamp will rule your household like a little Napoleon. Compact and confident, Chihuahuas are ideal city pets. They are too small for roughhousing with kids, and special care must be taken in cold weather, but Chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times.",12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group
Vizsla,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5,https://www.akc.org/dog-breeds/vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Vizsla-Illo-2.jpg,"The Vizsla is easily recognized by his sleek golden-rust coat. They can stand between 21 to 24 inches at the shoulder and are the picture of a lean, light-footed hunter’s companion. The long, silky ears frame a facial expression that is sensitive and loving around the house and intense when at work. As a hunter expected to work closely with humans, Vizslas form a tight bond with their owners and hate to be left alone.Athletes of many talents, Vizslas excel at various sports and activities. They are eager and graceful trotters of great stamina, making them ideal jogging or biking companions. An expert on the breed tells us, “If you don’t have the time to encourage this breed’s full use of its brain, you’re wasting a good dog.” The Vizsla is a versatile, red-coated gundog built for long days in the field. For centuries, these rugged but elegant athletes have been the pride of Hungarian sportsmen and their popularity in America increases with each passing year.",53.34,60.96,19.95806428,27.2155422,12.0,14.0,Sporting Group
